KAB_KOTA,KOMPOSIT,NCPR,KEMISKINAN(%),PENGELUARAN_PANGAN(%),TANPA_LISTRIK(%),TANPA_AIR_BERSIH(%),Lama_Sekolah_Perempuan_(tahun),Rasio_Tenaga_Kesehatan,Angka_Harapan_Hidup_(tahun),Stunting_(%),IKP,IKP_Ranking,INDIKATOR
MANGGARAI TIMUR,4,0.48,26.5,73.92,34.03,52.1,6.9,1.86,67.62,48.45,62.44,330,Sangat Rentan
MANOKWARI,5,1.81,22.21,23.39,0.3,26.47,9.43,11.52,68.22,32.14,68.8,298,Rentan
MANOKWARI SELATAN,1,5,30.87,43,11.96,57.58,8.56,33.78,67.16,40.26,36.33,397,Sangat Rentan
MAPPI,1,5,25.64,63.56,51.05,78.62,5.75,40.35,64.56,33.06,28.03,402,Sangat Rentan
MAROS,6,0.26,10.31,15.47,0.63,25.3,7.52,0.71,68.74,34.87,82.84,47,Sangat Tahan
MAYBRAT,2,3.14,32.89,28.44,11.4,58.54,9.54,19.21,64.93,42.02,48.12,380,Sangat Rentan
MELAWI,2,5,12.83,35.53,10.03,62.08,6.73,19.13,72.56,40.78,44.99,386,Sangat Rentan
MEMPAWAH,5,0.77,5.61,41.48,2.74,77.4,7.12,2.23,70.54,33.44,71.84,259,Rentan
MERANGIN,5,1.16,8.88,26.66,2.63,51.54,7.77,5.24,71.04,34.97,73.74,235,Agak Rentan
MERAUKE,6,0.35,10.54,19.49,4.46,29.99,8.56,66.56,66.71,22.8,78.25,147,Tahan
MESUJI,6,0.48,7.55,23.52,0,23.97,6.88,3.14,67.71,28.16,81.78,70,Sangat Tahan
MIMIKA,3,5,14.55,9.77,0.18,7.28,9.73,2.36,72.06,27.99,58.83,349,Sangat Rentan
MINAHASA,6,0.6,7.3,21.11,0.23,23.74,9.93,1.34,70.67,20.13,85.03,16,Sangat Tahan
MINAHASA SELATAN,6,0.39,9.34,43.98,0.23,33.12,9.1,2.11,69.47,26.12,80.78,92,Tahan
MINAHASA TENGGARA,6,0.64,13.29,42.82,0.23,18.88,9.43,2.38,69.77,27.96,80.29,102,Tahan
MINAHASA UTARA,6,0.6,6.99,26.57,0.77,23.41,10.21,1.3,71.03,35.44,83.76,32,Sangat Tahan
MOJOKERTO,6,0.52,10.08,26.95,0,25.37,8.17,0.27,72.24,29.9,82.78,48,Sangat Tahan
MOROWALI,6,0.49,14.34,16.99,2.29,19.07,9.02,3.39,68.45,34.81,81.26,84,Tahan
MOROWALI UTARA,6,0.43,15.53,36.96,5.26,23.06,8.61,18.34,68.77,28.47,78.47,144,Tahan
MUARA ENIM,5,1.32,12.56,31.62,0.54,34.37,7.87,3.71,68.38,34.37,72.84,248,Agak Rentan
MUARO JAMBI,5,1.72,4.05,36.01,2.25,36.24,8.4,5.27,71.02,20.68,75.21,210,Agak Rentan
MUKOMUKO,5,1.46,11.4,30.32,0.58,39.46,7.95,4.47,66.16,33.15,70.84,273,Rentan
MUNA,6,1.44,13.19,18.8,2.03,22.62,8.12,3.29,69.97,26.84,76.07,198,Agak Rentan
MUNA BARAT,6,0.73,14.17,16.15,0,23.15,6.62,1.81,69.97,31.3,79.2,125,Tahan
MURUNG RAYA,2,5,6.28,28.24,13.97,57.3,7.59,29.84,69.43,30.81,47.73,382,Sangat Rentan
MUSI BANYUASIN,6,0.67,16.52,20.46,1.71,34.53,7.46,7.97,68.33,31.07,75.94,200,Agak Rentan
MUSI RAWAS,6,0.43,13.76,17.99,0.21,40.48,7.43,4.43,67.59,34.56,77.34,168,Agak Rentan
MUSI RAWAS UTARA,4,1.98,19.12,37.59,5.52,46.55,6.59,8.63,65.21,33.24,61.49,335,Sangat Rentan
NABIRE,4,2.86,25.17,27.26,10.22,22.57,9.03,6.38,67.72,27.36,61.12,336,Sangat Rentan
NAGAN RAYA,5,0.64,18.97,37.73,0.72,35.98,8.15,4.85,68.89,40.56,73.73,236,Agak Rentan
NAGEKEO,6,0.58,12.98,30.84,7.99,22.58,8.2,3.05,66.62,35.96,77.82,156,Tahan
NATUNA,3,5,4.68,19.75,1.42,13.09,8.82,3.31,64.57,22.17,57.26,355,Sangat Rentan
NDUGA,1,5,38.13,39.35,88.92,99.74,2.15,64.97,54.82,49.79,10.56,416,Sangat Rentan
NGADA,6,0.38,12.94,30.77,8.42,33.1,8.6,2.01,67.59,34.7,78.24,148,Tahan
NGANJUK,6,0.39,12.11,47.73,0.42,28.82,7.72,0.61,71.25,29.65,79.96,112,Tahan
NGAWI,6,0.18,14.83,36.1,0.5,22.57,7.03,0.59,71.92,40.47,81.17,87,Tahan
NIAS,4,0.85,16.37,57.98,33.47,78.73,4.91,2.23,69.43,61.32,59.7,344,Sangat Rentan
NIAS BARAT,2,2.56,26.72,47.44,18.07,83.03,6.19,0.73,68.5,45.86,48.5,379,Sangat Rentan
NIAS SELATAN,4,1.29,16.65,42.59,26.38,65.4,5.69,1.47,68.24,45.06,62.01,333,Sangat Rentan
NIAS UTARA,3,1.53,26.56,51.92,27.92,65.8,5.92,2.91,68.98,45.46,56.38,359,Sangat Rentan
NUNUKAN,6,1.17,6.71,18.21,2.78,28.42,8.01,15.67,71.27,30.48,78.73,140,Tahan
OGAN ILIR,5,0.39,13.19,31.68,1.63,41.71,7.85,1.73,64.96,43.92,74.88,220,Agak Rentan
OGAN KOMERING ILIR,6,0.38,15.28,27.15,1.18,40.46,7.11,7.56,68.22,30.62,76.59,184,Agak Rentan
OGAN KOMERING ULU,4,2.35,12.61,28.88,0.84,38.48,8.8,1.83,67.83,33.19,66.54,319,Rentan
OGAN KOMERING ULU SELATAN,5,0.7,10.64,46.44,6.49,58.4,8.09,4.69,66.49,26.39,71.88,258,Rentan
OGAN KOMERING ULU TIMUR,6,0.18,10.57,27.97,0.43,40.94,7.68,1.5,68.65,27.16,80.49,100,Tahan
PACITAN,6,0.39,14.19,36.4,0.44,30.64,7.32,1.07,71.52,26.34,80.01,111,Tahan
PADANG LAWAS,4,1.68,8.41,46.74,7.45,51.21,8.95,4.44,66.69,42.89,66.93,312,Rentan
PADANG LAWAS UTARA,4,2.24,10.06,47.21,7.37,51.9,9.01,5.12,66.77,47.53,62.47,329,Sangat Rentan
PADANG PARIAMAN,6,0.45,8.04,39.54,1.73,39.31,7.94,1.36,68.23,26.09,79.06,128,Tahan
PAHUWATO,6,0.19,19.4,17.64,1.51,8.14,7.64,6.62,63.25,23.62,80.65,96,Tahan
PAKPAK BHARAT,4,1.06,9.74,49.05,2.67,65.32,8.24,4.74,65.27,45.58,67.04,311,Rentan
PAMEKASAN,5,1.08,14.47,48.62,0,30.02,6.45,0.31,67.22,44.12,71.1,269,Rentan
PANDEGLANG,5,0.48,9.61,50.44,0.16,58.5,6.84,2.53,64.24,39.47,71.14,266,Rentan
PANGANDARAN,6,0.35,8.12,27.75,0,30.73,7.77,1.32,70.84,32.71,82.56,54,Sangat Tahan
PANGKAJENE DAN KEPULAUAN,5,0.44,15.1,22.27,0.39,36.39,7.74,1.77,66.12,50.46,75.49,205,Agak Rentan
PANIAI,3,0.34,37.35,26.27,55.96,78.58,4.34,83.78,65.94,42.36,51.75,371,Sangat Rentan
PARIGI MOUTONG,5,0.33,17.41,30.94,3.66,40.91,7.31,3.39,63.57,33.68,73.6,239,Agak Rentan
PASAMAN,6,0.28,7.31,47.53,2.21,29.48,8,4.88,66.82,40.56,79.28,123,Tahan
PASAMAN BARAT,6,0.52,7.34,40.67,1.35,42.63,8.14,3.97,67.37,35.1,77.17,172,Agak Rentan
PASER,5,2.36,9.03,18.15,1.46,25.45,8.21,11.32,72.28,27.54,72.25,253,Rentan
PASURUAN,6,0.69,9.45,42.71,0,36.83,7.07,0.73,70.01,39.7,76.57,186,Agak Rentan
PATI,6,0.28,9.9,25.74,0,17.96,7.25,0.48,75.93,37.9,86.05,11,Sangat Tahan
PEGUNUNGAN ARFAK,1,5,35.72,64.81,68.7,74.21,5.49,59.7,66.89,35,23.4,407,Sangat Rentan
PEGUNUNGAN BINTANG,1,2.19,30.75,72,47.15,74.49,3.87,52.16,64.08,37.99,41.34,393,Sangat Rentan
PEKALONGAN,5,2.24,10.06,33.47,0,28.04,7.07,0.51,73.53,35.12,70.92,272,Rentan
PELALAWAN,5,3.01,9.73,15.51,2.2,21.52,8.67,9.23,70.74,25.51,68.62,299,Rentan
PEMALANG,6,0.63,16.04,50.67,0.16,27.24,6.35,0.45,73.11,33.68,76.87,178,Agak Rentan
PENAJAM PASER UTARA,6,0.72,7.4,11.5,0.71,15.18,7.94,4.77,71.05,31.62,84.26,24,Sangat Tahan
PENUKAL ABAB LEMATANG ILIR,5,1.26,13.81,19.75,0.42,38.54,6.4,2.27,67.88,39.5,71.72,260,Rentan
PESAWARAN,6,0.44,15.97,38.49,0.31,36.71,7.73,1.88,68.53,27.5,76.74,182,Agak Rentan
PESISIR BARAT,5,0.48,14.98,45.89,1.75,49.89,8.12,3.5,62.85,24.43,71.98,256,Rentan
PESISIR SELATAN,6,0.36,7.59,33.64,1.69,28.71,8.41,6.68,70.45,26.54,82.77,49,Sangat Tahan
PIDIE,5,0.32,20.47,49.49,0.68,40.67,8.96,1.2,66.68,36.16,73.47,240,Agak Rentan
PIDIE JAYA,6,0.3,20.17,49.76,0.99,28.96,9.03,1.37,69.81,36.8,76.81,179,Agak Rentan
PINRANG,6,0.11,8.81,26.15,0,32.65,7.95,1.04,68.98,43.59,82.03,67,Sangat Tahan
POLEWALI MANDAR,5,0.41,15.97,39.59,4.17,34,7.66,2.79,61.97,38.23,73.11,242,Agak Rentan
PONOROGO,6,0.24,10.36,32.24,0.23,19.03,7.28,0.68,72.43,30.5,84.49,23,Sangat Tahan
POSO,6,0.37,16.71,23.44,1.47,16.35,9.16,8.49,70.51,26.21,82.56,55,Sangat Tahan
PRINGSEWU,6,0.52,10.5,26.81,0.15,19.7,8.28,0.35,69.44,20.19,83.13,45,Sangat Tahan
PROBOLINGGO,5,0.82,18.71,51.18,0.21,40.86,5.83,0.78,66.71,39.9,69.04,293,Rentan
PULANG PISAU,6,0.24,4.51,34.7,0.67,44.21,7.87,14.87,67.92,32.07,80.02,110,Tahan
PULAU MOROTAI,6,0.31,7.16,30.5,1.15,42.32,7.24,9.57,66.58,36.84,78.17,150,Tahan
PULAU TALIABU,2,5,7.35,20.18,34.48,51.62,7.57,13.63,61.58,36.98,44.16,388,Sangat Rentan
PULAUAN SERIBU,3,5,11.98,67.92,0,9.49,9.67,0.05,68.27,27.12,53.29,365,Sangat Rentan
PUNCAK,1,5,38.15,96.42,100,100,1.2,42.8,65.33,26.48,12.26,415,Sangat Rentan
PUNCAK JAYA,1,5,36.27,67.18,82.42,62.05,2.54,10.88,64.65,35.4,23.69,406,Sangat Rentan
PURBALINGGA,6,0.77,15.62,30.12,0.17,23.05,7.14,0.4,72.98,28.88,79.2,126,Tahan
PURWAKARTA,6,0.84,7.99,28.81,0,37.84,7.96,0.56,70.61,41.01,77.82,155,Tahan
PURWOREJO,6,0.42,11.67,31.48,0.56,31.26,7.46,0.57,74.4,23.33,82.6,53,Sangat Tahan
RAJA AMPAT,2,5,17.8,38.48,13.14,36.93,8.5,39.13,64.42,27.55,44.02,390,Sangat Rentan
REJANG LEBONG,5,0.89,16.23,28.96,5.13,59.64,8.26,1.79,67.95,26.01,70.93,271,Rentan
REMBANG,6,0.38,15.41,26.13,0,17.16,7.02,0.72,74.39,25.73,83.7,34,Sangat Tahan
ROKAN HILIR,5,1.73,7.06,31.11,3.18,42.79,8.35,4.95,69.87,38.08,71.42,263,Rentan
ROKAN HULU,3,5,10.95,25.82,1.58,23.61,8.36,6.56,69.55,27.25,54.25,364,Sangat Rentan
ROTE NDAO,5,0.58,28.08,37.4,13.15,21.41,7.55,2.72,63.8,44.04,69.4,289,Rentan
SABU RAIJUA,2,2.23,30.83,69.03,20.27,42.47,7.11,1.39,59.53,46.5,49.8,377,Sangat Rentan
