KAB_KOTA,KOMPOSIT,NCPR,KEMISKINAN(%),PENGELUARAN_PANGAN(%),TANPA_LISTRIK(%),TANPA_AIR_BERSIH(%),Lama_Sekolah_Perempuan_(tahun),Rasio_Tenaga_Kesehatan,Angka_Harapan_Hidup_(tahun),Stunting_(%),IKP,IKP_Ranking,INDIKATOR
TOBA SAMOSIR,6,0.23,8.67,45.85,3.33,28.61,10.14,2.33,69.59,29.74,82.61,52,Sangat Tahan
TOJO UNA-UNA,5,0.85,18.27,32.85,5.98,17.78,8.43,5.89,64.61,26.15,74.87,221,Agak Rentan
TOLIKARA,1,5,33.14,65.63,25.01,95.98,2.77,23.35,65.3,21.31,24.98,404,Sangat Rentan
TOLITOLI,6,0.45,13.66,25.48,5.82,29.09,8.52,3.28,64.71,31.67,77.63,162,Tahan
TORAJA UTARA,6,0.39,13.37,22.89,2.85,45.77,8.09,1.02,73.09,40.7,78.8,138,Tahan
TRENGGALEK,6,0.53,12.02,36.13,0,48.88,7.6,0.72,73.35,39.89,77.08,174,Agak Rentan
TUBAN,6,0.27,15.31,37.56,0,16.93,6.71,0.95,71.01,30.76,81.45,80,Tahan
TULANG BAWANG,6,0.21,9.7,24.94,2.52,30.15,7.66,2.27,69.59,32.49,82.29,62,Sangat Tahan
TULANG BAWANG BARAT,6,0.1,8.1,20.8,0,62.24,7.02,1.08,69.56,27.2,79.28,122,Tahan
TULUNGAGUNG,6,0.56,7.27,24.61,0.11,31.13,8.33,0.47,73.74,26.17,83.94,30,Sangat Tahan
WAJO,6,0.08,7.5,20.71,1.59,25.35,6.87,3.59,66.79,32.19,83.37,39,Sangat Tahan
WAKATOBI,6,0.44,14.85,16.56,1.59,32.91,7.57,0.92,69.85,29.07,79.76,117,Tahan
WAROPEN,1,5,30.53,44.11,6.18,59.41,8.95,28.95,65.99,52.59,35.45,398,Sangat Rentan
WAY KANAN,5,0.27,13.52,37.29,0.56,72.76,7.18,1.8,68.95,36.07,72.37,250,Rentan
WONOGIRI,6,0.15,10.75,31.3,0.1,19.29,6.95,0.99,76.05,27.9,86.55,5,Sangat Tahan
WONOSOBO,6,0.8,17.58,29.85,0.12,12.68,7,0.78,71.46,31.49,78.94,134,Tahan
YAHUKIMO,1,5,39.25,68.2,94.51,87.22,3.16,42.56,65.52,34.23,16.99,412,Sangat Rentan
YALIMO,1,5,35.45,51.81,25.43,85.71,3.18,23.19,65.1,0,28.67,401,Sangat Rentan
